index,keyword,view,menu,checkout,order,keyword_lower,item_id,cuisine_tag,item_name,item_price,merchant_id,item_name_lower
0,fried spring rolls,37816,11185,3882,153,fried spring rolls,1,Side,Fried Spring Rolls,3.5,1d4f2,fried spring rolls
9,lumpiang shanghai,8009,2295,1556,101,lumpiang shanghai,264,Side,Lumpiang Shanghai,4.25,f7d1a,lumpiang shanghai
11,thai spring rolls,38880,15481,9078,796,thai spring rolls,341,Side,Thai Spring Rolls,3.5,7a8e0,thai spring rolls
38,general tso’s chicken,3291,1271,420,22,general tso’s chicken,3,Asian,General Tso’s Chicken,9.5,1a3f7,general tso’s chicken
47,kung pao chicken,36107,8796,2298,141,kung pao chicken,199,Asian,Kung Pao Chicken,9.25,1a3f7,kung pao chicken
56,bacon wrapped dog,44805,14960,6206,469,bacon wrapped dog,4,American,Bacon Wrapped Dog,5.25,d3b6a,bacon wrapped dog
73,kulfi,47346,18267,6169,559,kulfi,5,Dessert,Kulfi,3.75,a3e8b,kulfi
90,fried fish sandwich,49558,16399,8751,653,fried fish sandwich,6,Seafood,Fried Fish Sandwich,8.5,b9e5f,fried fish sandwich
108,garlic naan,11743,4164,1949,150,garlic naan,7,Indian,Garlic Naan,2.5,c5e2a,garlic naan
143,double patty burger,12661,4301,1485,109,double patty burger,9,Burgers,Double Patty Burger,9.0,2e8a5,double patty burger
161,mushroom & herb crepe,9200,2009,679,26,mushroom & herb crepe,10,French,Mushroom & Herb Crepe,7.5,e7a2f,mushroom & herb crepe
180,nutella & banana crepe,16348,4060,2180,147,nutella & banana crepe,11,French,Nutella & Banana Crepe,6.75,0e7a4,nutella & banana crepe
197,lemonade,12872,4024,2512,90,lemonade,12,Beverage,Lemonade,2.5,6d0f7,lemonade
217,chili cheese fries,30042,5932,3490,136,chili cheese fries,13,Tex-Mex,Chili Cheese Fries,6.0,6d0f7,chili cheese fries
234,beef bulgogi rice bowl,7283,2687,938,49,beef bulgogi rice bowl,14,Asian,Beef Bulgogi Rice Bowl,9.5,7f4d2,beef bulgogi rice bowl
269,beef shawarma plate,33163,7935,3945,155,beef shawarma plate,16,Mediterranean,Beef Shawarma Plate,9.75,1c2e6,beef shawarma plate
285,classic cheese pizza,22090,7473,3812,335,classic cheese pizza,17,Italian,Classic Cheese Pizza,8.0,7c5b9,classic cheese pizza
301,spaghetti bolognese,27428,6127,4201,237,spaghetti bolognese,18,Italian,Spaghetti Bolognese,9.5,d4f0a,spaghetti bolognese
315,classic cheeseburger,19195,6997,2348,206,classic cheeseburger,19,Burgers,Classic Cheeseburger,7.5,2e8a5,classic cheeseburger
331,pancit palabok,35850,10920,4753,436,pancit palabok,20,Filipino,Pancit Palabok,8.5,8f7c2,pancit palabok
349,beef striploin bowl,11401,4386,1739,160,beef striploin bowl,21,Steak,Beef Striploin Bowl,10.75,4c9a2,beef striploin bowl
366,celery & ranch,24776,9185,5095,496,celery & ranch,22,Side,Celery & Ranch,2.0,8d5f9,celery & ranch
382,grilled chicken caesar salad,36575,7642,2431,124,grilled chicken caesar salad,23,Healthy,Grilled Chicken Caesar Salad,8.5,4d9f1,grilled chicken caesar salad
398,spicy salmon roll,1475,227,94,6,spicy salmon roll,24,Japanese,Spicy Salmon Roll,7.0,5b8d2,spicy salmon roll
414,shoyu ramen,25066,5669,2991,138,shoyu ramen,25,Japanese,Shoyu Ramen,9.25,4f0c5,shoyu ramen
430,unagi nigiri (2 pcs),10075,2118,1302,47,unagi nigiri (2 pcs),26,Japanese,Unagi Nigiri (2 pcs),5.5,a9f4e,unagi nigiri (2 pcs)
447,spicy tofu stew (soondubu),28371,6403,2847,182,spicy tofu stew (soondubu),27,Korean,Spicy Tofu Stew (Soondubu),9.5,2d7a9,spicy tofu stew (soondubu)
464,chili dog,5613,1873,687,28,chili dog,28,Tex-Mex,Chili Dog,6.75,6d0f7,chili dog
477,chili cheese dog,13014,3613,2029,189,chili cheese dog,100,American,Chili Cheese Dog,5.0,a4f0b,chili cheese dog
480,pho ga (chicken pho),16658,3205,1292,88,pho ga (chicken pho),29,Vietnamese,Pho Ga (Chicken Pho),8.5,1d4f2,pho ga (chicken pho)
497,avocado cucumber roll,39552,11069,5254,268,avocado cucumber roll,30,Japanese,Avocado Cucumber Roll,6.0,5b8d2,avocado cucumber roll
513,fries,38403,7548,4455,387,fries,31,Side,Fries,2.5,2e8a5,fries
532,noodle stir fry with chicken,29068,8423,5034,206,noodle stir fry with chicken,32,Asian,Noodle Stir Fry with Chicken,9.0,b7a3e,noodle stir fry with chicken
543,pancit canton with chicken,16114,5114,2659,178,pancit canton with chicken,115,Filipino,Pancit Canton with Chicken,8.0,f7d1a,pancit canton with chicken
